smiles,cal_solv_free
N[C@@H](CO)c1ccccc1,-10.52755957
CC(C)NCc1ccccc1,-5.509556625
CCc1cnccn1,-5.410924603
C1=CC2NC1c1ccncc12,-8.961646013
NC1=NCCc2ccccc21,-8.704994423
Nc1ccc(Cl)cc1,-7.100256825
Cc1noc(/C=N/O)n1,-10.08991527
CSc1nncc(O)n1,-10.53855982
CC(C)c1ccccc1,-3.321492006
NNC(=O)c1cccnc1,-12.25583506
NNc1nnc(S)n1N,-18.0642998
Nc1ccc(Cl)c(N)c1,-9.835183859
N[C@@H]1C[C@H]1c1ccsc1,-6.780396152
CCc1cnc(C)cn1,-5.532297588
Oc1cccc(F)c1,-6.72347472
CSc1nc(C=O)co1,-8.23165108
O=[PH](O)c1cccs1,-11.8033376
O=C(O)CCc1c[nH]cn1,-15.02953594
CC(N)Cc1ccccc1,-6.859161208
Cc1sc(NN)nc1O,-16.70390832
Cc1cc(C(=O)O)on1,-9.990938116
NCc1cnn(O)c1Cl,-10.57120289
Cc1ccccc1C(N)=O,-10.51330882
CC(N)Cc1cc[nH]c1,-9.627540799
Cc1nccc(O)c1O,-9.648894965
Nc1cc(Cl)ccc1O,-8.577572242
CNCCc1ccccc1,-6.239206428
OCc1ccnc(Cl)c1,-8.919251437
CC(=O)/C=C/c1ccccc1,-7.798807232
N#C/C(N)=N/c1ccccc1,-11.51439434
OCc1c[nH]cn1,-13.72564546
[O-][n+]1ccc(C2CC2)cc1,-11.51020258
Nc1ccc2c(c1)NCCN2,-11.3063936
COC(=O)c1cnccn1,-9.572282269
Oc1cc(Cl)ncn1,-10.41478347
NCc1cccnc1,-8.411093839
N=C(N)Nc1ncccn1,-16.7783059
C[C@H](N)[C@@H](C)c1c[nH]cn1,-12.27297236
Cc1nssc1=S,-4.264332056
Nc1nccc(O)n1,-9.691603295
COc1nc(C)cnc1C,-5.491584739
C[C@@H]1[C@H](N)[C@H]1c1ccccc1,-6.447966455
Cc1cccc(C)c1CO,-7.286733971
NNC(=O)c1cncs1,-16.54982324
O=c1ccs[nH]1,-10.32669362
CCc1nn(O)cc1CN,-10.96391747
Cn1c(F)cccc1=N,-6.989149904
CNc1nc(N)nc(N)n1,-13.79064922
NNC(=O)Cc1nnn[nH]1,-22.1620907
C[C@H](N)c1cc(O)no1,-10.88403545
O=Cc1ccccc1C=O,-10.0164464
COC(=O)c1cccnc1,-7.67693224
COc1ccc(N)cc1C#N,-12.7226272
NCc1ccccn1,-8.541415116
